BMI,4. Age (in years),5. Height (in cms),6. Weight (in kgs), Financial insecurity faced due to lockdown,Is not being able to hangout and meet your friends and classmates in any way affecting your mental health?,quarantine impact,When did you have more free time?, How many days in a week do you practice meditation?,"19. Out of the following, choose 5 tools which you use most often these days.",happy with online classes,How would you rate your mental well being ?,mentalh_level,to
20.3125,21,160,52,7,0,1,0,7,12,0,7,Good,0.00203125
19.44444444,21,180,63,8,0,1,0,0,6,1,9,Good,0.001944444
23.17250223,22,163.0846919,61.63101604,3,1,1,1,6,11,1,7,Good,0.00231725
39.2565294,19,158,98,1,0,0,0,1,13,1,10,Good,0.003925653
29.0486565,44,153,68,3,1,0,0,3,3,1,9,Good,0.002904866
22.67573696,23,168,64,8,0,1,0,7,13,1,10,Good,0.002267574
16528.92562,15,5.5,50,1,1,0,2,2,10,1,10,Good,1.652892562
25,21,180,81,8,0,1,2,0,1,0,4,Bad,0.0025
23.1385071,21,147,50,5,1,1,2,0,9,0,9,Good,0.002313851
22.22222222,19,180,72,1,1,0,2,0,15,0,9,Good,0.002222222
12.78305332,9,148,28,5,0,1,2,0,11,1,10,Good,0.001278305
29.00059488,40,164,78,7,0,1,0,3,12,0,8,Good,0.002900059
188.6145405,12,54,55,1,1,2,2,0,12,1,8,Good,0.018861454
19.62323391,19,182,65,6,1,0,1,1,4,0,6,Good,0.001962323
19.36849691,24,149,43,4,1,0,1,0,11,0,6,Good,0.00193685
22.86236854,24,162,60,7,0,0,0,0,12,0,7,Good,0.002286237
23.17250223,19,163.0846919,61.63101604,8,1,0,2,0,8,0,3,Bad,0.00231725
27.77777778,18,180,90,2,1,0,0,0,11,0,5,Bad,0.002777778
16.17122473,11,145,34,3,0,1,1,0,9,0,9,Good,0.001617122
30.757401,44,153,72,1,0,1,1,7,8,0,9,Good,0.00307574
36.21227888,41,155,87,4,0,0,2,0,11,0,6,Good,0.003621228
22.53061224,19,175,69,4,1,1,0,2,14,1,9,Good,0.002253061
15.81685744,15,155,38,2,0,1,2,1,9,1,8,Good,0.001581686
18.9796298,19,177.8,60,1,0,2,2,1,12,1,9,Good,0.001897963
20.79672989,19,167,58,2,1,0,2,3,11,0,8,Good,0.002079673
21.95247934,19,176,68,6,0,0,2,0,15,1,6,Good,0.002195248
17.14677641,19,162,45,5,1,0,2,3,14,0,4,Bad,0.001714678
22.34029707,19,182,74,1,1,0,0,0,12,1,7,Good,0.00223403
18.71754619,20,182,62,1,1,0,2,0,17,0,7,Good,0.001871755
17.55829904,9,135,32,4,1,1,2,0,7,0,7,Good,0.00175583
18.5178041,15,161,48,1,1,0,2,0,8,0,9,Good,0.00185178
30.29585799,33,162.5,80,6,1,0,0,6,14,0,9,Good,0.003029586
16.52892562,15,165,45,1,0,0,2,0,3,0,5,Bad,0.001652893
30.42719786,40,157,75,6,0,0,0,2,12,0,7,Good,0.00304272
17.93985069,21,182.88,60,3,1,1,1,0,13,1,7,Good,0.001793985
17.47471743,36,164,47,8,0,0,1,0,5,0,5,Bad,0.001747472
16.52892562,16,165,45,5,1,1,1,0,8,0,7,Good,0.001652893
22.64086462,37,153,53,4,1,0,2,3,12,1,8,Good,0.002264086
20.81165453,19,155,50,1,1,0,1,0,16,0,6,Good,0.002081165
22.31327843,14,157,55,5,1,0,2,0,14,0,5,Bad,0.002231328
